Index, 1/2009, 2/2009, 3/2009, 4/2009, 5/2009, 6/2009, 7/2009, 8/2009, 9/2009, 10/2009, 11/2009, 12/2009, 1/2010, 2/2010, 3/2010, 4/2010, 5/2010, 6/2010, 7/2010, 8/2010, 9/2010, 10/2010, 11/2010, 12/2010, 1/2011, 2/2011, 3/2011, 4/2011, 5/2011, 6/2011, 7/2011, 8/2011, 9/2011, 10/2011, 11/2011, 12/2011, 1/2012, 2/2012, 3/2012, 4/2012, 5/2012, 6/2012, 7/2012, 8/2012, 9/2012, 10/2012, 11/2012, 12/2012, 1/2013, 2/2013, 3/2013, 4/2013, 5/2013, 6/2013, 7/2013, 8/2013, 9/2013, 10/2013, 11/2013, 12/2013, 1/2014, 2/2014, 3/2014, 4/2014, 5/2014, 6/2014, 7/2014, 8/2014, 9/2014, 10/2014, 11/2014, 12/2014, 1/2015, 2/2015, 3/2015, 4/2015, 5/2015, 6/2015, 7/2015, 8/2015, 9/2015, 10/2015, 11/2015, 12/2015, 1/2016, 2/2016, 3/2016, 4/2016, 5/2016, 6/2016, 7/2016, 8/2016, 9/2016, 10/2016, 11/2016, 12/2016, 1/2017, 2/2017, 3/2017, 4/2017, 5/2017, 6/2017, 7/2017, 8/2017, 9/2017, 10/2017, 11/2017, 12/2017, 1/2018, 2/2018, 3/2018, 4/2018, 5/2018, 6/2018, 7/2018, 8/2018, 9/2018, 10/2018, 11/2018, 12/2018, 1/2019, 2/2019, 3/2019, 4/2019, 5/2019, 6/2019, 7/2019, 8/2019, 9/2019, 10/2019, 11/2019, 12/2019, 1/2020, 2/2020, 3/2020, 4/2020, 5/2020, 6/2020, 7/2020, 8/2020, 9/2020, 10/2020, 11/2020, 12/2020, 1/2021, 2/2021, 3/2021, 4/2021, 5/2021, 6/2021, 7/2021, 8/2021, 9/2021, 10/2021, 11/2021, 12/2021, 1/2022, 2/2022, 3/2022, 4/2022, 5/2022, 6/2022, 7/2022, 8/2022, 9/2022, 10/2022, 11/2022, 12/2022, 1/2023, 2/2023, 3/2023, 4/2023, 5/2023, 6/2023, 7/2023, 8/2023, 9/2023, 10/2023, 11/2023, 12/2023, 1/2024, 2/2024, 3/2024, 4/2024, 5/2024, 6/2024, 7/2024, 8/2024, 9/2024, 10/2024, 11/2024, 12/2024, 1/2025, 2/2025,
CPI,0.32,1.17,-0.17,0.35,0.44,0.55,0.52,0.24,0.62,0.37,0.55,1.38,1.36,1.96,0.75,0.14,0.27,0.22,0.06,0.23,1.31,1.05,1.86,1.98,1.74,2.09,2.17,3.32,2.21,1.09,1.17,0.93,0.82,0.36,0.39,0.53,1,1.37,0.16,0.05,0.18,-0.26,-0.29,0.63,2.2,0.85,0.47,0.27,1.25,1.32,-0.19,0.02,-0.06,0.05,0.27,0.83,1.06,0.49,0.34,0.51,0.69,0.55,-0.44,0.08,0.2,1.38,0.23,0.22,0.4,0.11,-0.27,-0.24,-0.2,-0.05,0.15,0.14,0.16,0.35,0.13,-0.07,-0.21,0.11,0.07,0.02,0,0.42,0.57,0.33,0.54,0.46,0.13,0.1,0.54,0.83,0.48,0.23,0.46,0.23,0.21,0,-0.53,-0.17,0.11,0.92,0.59,0.41,0.13,0.21,0.51,0.73,-0.27,0.08,0.55,0.61,-0.09,0.45,0.59,0.33,-0.29,-0.25,0.1,0.8,-0.21,0.31,0.49,-0.09,0.18,0.28,0.32,0.59,0.96,1.4,1.23,-0.17,-0.72,-1.54,-0.03,0.66,0.4,0.07,0.12,0.09,-0.01,0.1,0.06,1.52,-0.27,-0.04,0.16,0.19,0.62,0.25,-0.62,-0.2,0.32,-0.18,0.19,1,0.7,0.18,0.38,0.69,0.4,0.01,0.4,0.15,0.39,-0.01,0.52,0.45,-0.23,-0.34,0.01,0.27,0.45,0.88,1.08,0.08,0.25,0.12,0.31,1.04,-0.23,0.07,0.05,0.17,0.48,0,0.29,0.33,0.13,0.29,0.98,0.34,
CIC,"1,351,631","1,531,107","1,667,854","1,753,600","1,938,558","1,960,600","1,998,111","2,041,422","2,079,392","2,136,551","2,184,310","2,248,116","2,310,569","2,374,733","2,407,246","2,511,463","2,542,405","2,579,524","2,637,036","2,638,041","2,685,256","2,701,581","2,716,147","2,716,398","2,727,700","2,785,213","2,807,216","2,855,121","2,813,333","2,833,918","2,855,444","2,887,697","2,880,061","2,903,969","2,915,695","2,939,982","2,984,314","3,090,904","3,079,409","3,089,273","3,127,145","3,159,403","3,187,638","3,236,786","3,256,543","3,289,999","3,303,252","3,315,766","3,344,612","3,477,985","3,460,484","3,437,733","3,496,178","3,527,747","3,530,945","3,607,354","3,673,562","3,673,562","3,734,181","3,784,769","3,853,337","3,970,548","3,971,912","3,996,271","4,075,612","4,128,770","4,177,852","4,282,604","4,312,496","4,376,026","4,451,893","4,502,229","4,586,430","4,655,890","4,691,374","4,686,152","4,797,202","4,845,059","4,911,308","5,037,936","5,104,873","5,104,873","5,198,026","5,245,192","5,350,800","5,505,406","5,604,499","5,602,778","5,746,188","5,817,176","5,891,669","6,001,383","6,032,680","6,099,921","6,177,691","6,260,763","6,370,509","6,329,715","6,390,566","6,416,397","6,555,278","6,654,158","6,723,248","6,827,140.33","6,842,262","6,900,174","6,985,654","7,038,597","7,111,011","7,375,669.11","7,348,531","7,288,020","7,437,086","7,532,976","7,628,015.24","7,742,083","7,750,773","7,799,732","7,888,910","7,934,649","8,004,063","8,195,393","8,203,403.05","8,209,360","8,302,412","8,311,303","8,359,045","8,494,504","8,527,386","8,590,818","8,694,050","8,752,023","8,884,819","9,192,566","9,262,422.58","9,253,071","9,463,868","9,575,526.13","9,647,847","9,784,937","9,828,832","9,877,343","9,917,032","9,998,175","10,185,807","10,444,078","10,703,779","10,721,070","11,067,407.98","11,198,987.61","11,288,629.19","11,428,653.23","11,440,719.62","11,485,303.93","11,597,310.32","11,657,006.81","11,697,616.55","11,924,433.61","11,936,635.39","12,026,335.13","12,231,723.64","12,285,210.28","12,314,063.72","12,487,912.51","12,466,239.37","12,588,304.72","12,754,669.12","12,808,476.25","13,019,793.99","13,568,977.92","13,476,198.60","13,467,585.05","13,761,415.87","13,842,168.71","14,034,014.18","14,396,261.98","14,373,407.09","14,561,481.81","14,805,563.37","14,945,582.57","15,176,471.37","15,616,213.73",,,,,,,,,,,,,
M2,"1,748,226","1,907,523","1,986,084","2,092,447","1,951,164","1,970,404","1,972,413","2,030,008","2,079,540","2,127,370","2,195,254","2,260,357","2,312,635","2,361,219","2,400,087","2,438,955","2,460,990","2,506,026","2,547,125","2,487,246","2,489,685","2,526,026","2,629,925","2,655,290","2,621,877","2,665,046","2,684,768","2,667,978","3,166,352","3,184,846","3,247,187","3,306,645","3,338,824","3,371,651","3,408,877","3,441,875","3,519,376","3,702,867","3,766,292","3,786,543","3,842,421","3,866,254","3,899,158","3,973,449","3,981,117","4,039,750","4,085,496","4,137,265","4,217,699","4,400,692","4,494,180","4,475,609","4,524,885","4,565,050","4,608,425","4,708,299","4,701,924","4,776,680","4,847,017","4,887,877","4,973,579","5,179,216","5,192,194","5,308,012","5,300,817","5,328,232","5,376,435","5,492,731","5,505,640","5,591,611","5,695,769","5,722,963","5,809,442","6,019,609","6,107,942","6,138,610","6,267,958","6,326,334","6,427,397","6,592,394","6,609,446","6,682,211","6,829,893","6,863,455","6,971,061","7,125,801","7,308,746","7,252,377","7,374,307","7,403,116","7,466,760","7,616,856","7,668,850","7,762,372","7,877,753","7,901,462","8,062,576","8,192,548","8,296,475","8,401,534","8,521,098","8,661,255","8,757,588","8,879,582","8,842,552","8,888,384","8,933,435","8,999,033","9,061,689","9,121,583","9,488,086","9,376,631","9,478,157","9,546,608","9,706,888","9,866,484","9,860,081","9,949,135","10,083,735","10,138,630","10,274,960","10,573,725","10,758,024","10,672,880","10,755,572","10,779,851","10,928,485","11,118,423","11,163,361","11,315,994","11,485,845","11,556,445","11,730,140","12,110,606","12,202,217","12,228,211","12,349,750","12,465,012","12,558,573","12,647,703","12,692,256","12,757,648","12,879,090","12,907,567","13,040,842","13,402,097","13,748,740","13,644,750","13,864,061","13,871,751","13,848,264","13,908,338","13,828,044","13,761,019","13,832,397","13,815,145","13,878,503","14,226,792","14,339,502","14,272,184","14,415,021","14,470,593","14,517,832","14,754,221","14,640,943","14,801,154","15,026,012","15,074,263","15,354,119","15,998,956","15,999,293","15,914,067","16,012,915","16,019,364","16,130,057","16,513,106","16,401,397","16,658,293","16,949,072","17,107,320","17,301,843",,,,,,,,,,,,,,
CIC_Growth,6,20.08,30.8,37.53,0.26,1.13,3.07,5.3,7.26,10.21,12.67,15.96,19.19,22.49,24.17,29.55,1.23,2.71,5,5.04,6.92,7.57,8.15,8.16,8.61,10.9,0.79,2.51,1.01,1.75,2.52,3.68,3.41,4.26,4.68,5.56,7.15,10.98,-0.37,-0.05,1.17,2.22,3.13,4.72,5.36,6.44,6.87,7.27,8.21,12.52,-0.5,-1.16,0.52,1.43,1.52,3.72,5.62,5.62,7.37,8.82,10.79,14.16,0.03,0.65,2.65,3.98,5.22,7.86,8.61,10.21,12.12,13.39,15.51,17.26,0.76,0.65,3.04,4.06,5.49,8.21,9.64,9.64,11.64,12.66,14.93,18.25,1.8,1.77,4.37,5.66,7.02,9.01,9.58,10.8,12.21,13.72,15.71,14.97,0.96,1.37,3.56,5.13,6.22,7.86,8.1,9.01,10.36,11.19,12.34,13.92,1.9,1.07,3.13,4.46,5.78,7.36,7.48,8.16,9.4,10.03,11,13.65,0.1,0.17,1.31,1.41,2,3.65,4.05,4.82,6.08,6.79,8.41,12.17,0.76,0.66,2.95,4.17,4.95,6.44,6.92,7.45,7.88,8.76,10.8,13.61,2.49,2.65,5.97,7.24,8.09,9.44,9.55,9.98,11.05,11.62,12.01,14.18,0.1,0.82,2.58,3.03,3.27,4.73,4.54,5.57,6.96,7.41,9.19,13.78,-0.68,-0.75,1.42,2.01,3.43,6.1,5.93,7.31,9.11,10.15,11.85,15.09,,,,,,,,,,,,,
M2_Growth,7.77,17.59,22.43,28.99,0.4,0.98,1.08,4.04,6.57,9.03,12.5,15.84,18.52,21.01,23,25,0.9,2.75,4.44,1.98,2.08,3.57,7.83,8.87,7.5,9.27,0.74,0.11,18.81,19.5,21.84,24.07,25.28,26.51,27.91,29.15,32.06,38.94,1.71,2.26,3.77,4.41,5.3,7.31,7.51,9.1,10.33,11.73,13.9,18.85,2.12,1.7,2.82,3.73,4.72,6.99,6.85,8.54,10.14,11.07,13.02,17.69,0.25,2.49,2.35,2.88,3.81,10.04,6.3,7.96,9.97,10.5,12.17,16.23,1.47,1.98,4.13,5.1,6.77,9.52,9.8,11.01,13.46,14.02,15.81,18.38,2.57,1.78,3.49,3.89,4.78,6.89,7.62,8.93,10.55,10.89,13.15,14.97,1.27,2.55,4.01,5.72,6.9,8.39,7.93,8.49,9.04,9.84,10.6,12.44,3,1.78,2.89,3.63,5.37,7.11,7.04,8,9.46,10.06,11.54,14.78,1.74,0.94,1.72,1.95,3.36,5.15,5.58,7.02,8.63,9.3,10.93,14.53,0.76,0.97,1.97,2.92,3.7,4.43,4.8,5.34,6.34,6.58,7.68,10.66,2.59,1.81,3.45,3.5,3.33,3.78,3.18,2.68,3.21,3.08,3.55,6.15,0.79,0.32,1.32,1.71,2.05,3.71,2.91,4.04,5.62,5.96,7.92,12.46,0,-0.53,0.09,0.13,0.82,3.21,2.52,4.12,5.94,6.93,8.14,,,,,,,,,,,,,,
Total_Export,"3,719","5,028","5,312","4,279","4,415","4,737","4,806","4,523","4,544","5,026","4,686","5,467","5,013","3,740","5,592","5,332","6,312","6,317","6,029","6,857","6,098","6,227","6,641","7,498","7,091","4,848","7,447","7,437","7,233","8,460","9,323","9,247","7,944","8,394","8,854","9,087","7,095","8,300","9,479","8,962","9,100","9,750","9,600","10,308","9,483","10,322","10,347","10,355","11,472","7,146","11,029","10,033","11,675","11,009","11,599","11,923","11,184","12,613","11,992","11,637","11,460","9,540","12,000","13,071","12,000","12,378","12,916","13,272","12,400","14,068","13,200","12,876","13,405","9,600","13,345","13,348","13,500","14,300","14,500","14,500","14,200","14,314","14,300","14,200","13,800","10,300","14,200","14,100","14,600","14,800","14,700","15,200","15,000","15,500","15,600","16,000","14,600","13,000","16,300","16,700","17,200","17,800","17,500","18,200","19,000","19,400","19,200","19,300","19,000","13,400","19,800","18,200","19,200","19,600","19,500","20,900","20,500","20,800","21,600","21,000","20,000","14,600","22,400","19,900","21,500","21,600","22,600","24,500","23,000","22,400","22,600","21,800","19,000","18,600","20,000","19,700","18,500","21,000","23,000","26,500","27,500","26,700","24,800","26,500","27,700","20,000","28,600","25,500","26,000","26,500","27,000","26,200","27,000","27,300","29,900","34,517","29,000","22,947","34,061","33,258","30,480","32,646","30,323","33,380","29,940","30,270","29,500","29,660","25,080","25,880","29,570","27,540","29,050","29,300","29,680","32,370","31,410","32,310","31,080","32,910","33,570","24,820","34,010","30,940","32,810","33,090","35,920","37,590","34,050","35,587","33,734","35,529","33,085.29","31,109.32",
Total_Import,"3,329","4,188","5,043","5,456","5,669","5,902","6,323","5,848","6,376","6,625","6,767","7,395","5,958","5,070","6,747","6,494","7,183","7,059","7,007","7,252","6,973","7,304","7,941","8,792","7,968","5,960","8,856","8,930","8,654","8,620","8,221","9,643","9,445","9,144","9,421","9,356","6,923","8,579","9,055","8,959","9,800","9,900","9,500","10,257","9,308","10,166","9,952","9,857","10,696","7,240","11,575","10,969","12,228","10,723","11,220","11,319","11,272","12,512","10,988","12,185","13,600","10,090","12,300","12,260","12,400","12,430","12,965","12,198","13,000","14,072","12,792","14,038","13,400","10,480","14,736","13,200","14,938","14,465","14,800","14,600","14,300","13,814","14,500","14,800","14,000","10,200","14,100","14,000","15,000","14,900","14,600","15,000","15,100","15,700","16,000","16,300","14,700","14,200","17,400","17,500","18,000","18,000","17,800","17,800","18,600","18,500","19,000","19,800","19,300","12,500","19,000","17,500","19,700","19,700","19,800","21,000","19,800","20,700","22,000","21,200","20,800","15,500","21,800","20,600","22,800","21,200","22,400","22,800","22,500","22,500","22,500","22,800","22,302","18,500","19,000","20,400","19,400","20,500","22,000","23,000","24,000","24,500","24,200","27,500","26,400","20,800","28,200","27,000","28,000","27,500","28,700","27,500","26,500","26,200","29,800","31,975","29,500","25,279","32,672","32,189","32,210","32,370","30,302","30,960","28,800","28,000","30,000","29,160","21,480","23,580","28,920","26,030","26,810","26,710","27,530","28,550","29,120","29,310","29,800","30,630","30,650","23,720","31,080","30,260","33,810","30,150","33,800","33,059","31,758","33,601","32,667","35,005","30,060.50","32,659.28",
Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,4.3,2.1,5.2,5,4.8,-12.9,10,10.2,1.5,4.4,2,3.2,4.1,4.6,5.8,4.8,5,-3.2,-21.3,1.6,5.8,4.6,1.9,3.4,2.1,0.5,6.07,5.6,4.4,-6.2,-10.3,16.9,1.2,2,0.5,0.2,1.9,-0.4,4.6,5.3,4.6,-2.8,-19.2,25.8,-0.4,2.1,1.5,1.1,-1.3,1.8,3.4,1.5,3.5,-2.6,-22.3,23.8,-11.7,2.4,1.1,2.1,0.8,3.4,6,2,4.7,-6.2,-2.1,12.5,-0.8,1.7,0.4,1.4,3.9,0.1,8,2.8,2,-3.4,-17.1,22.8,1.5,2.2,-0.2,2.5,7.3,0.8,5.3,2.9,1.4,-3.2,-16.8,27.6,0.6,4.6,1.3,5.9,5.4,-0.1,2.7,-1.6,0.5,-11.8,8.4,10.8,-13.3,11.2,10.3,1.1,0.6,2.3,5.4,0.5,1.6,-3.3,-21.1,22.1,1.1,1.6,0.5,1.8,-4.2,5,6.9,5.5,3.5,2.4,-12.4,22.9,9.4,10.4,1,1.6,2.9,1.8,3,0.3,-1,-14.6,5.1,9.6,3.6,2.2,2,3.9,2.9,0.1,5.5,3,0.1,18.3,-18,20,0.8,3.9,0.7,0.7,2,-0.2,4,2.3,0.8,-9.2,-2.2,
